nome;uf;total_presencas
David Soares;SP;98
Jandira Feghali;RJ;98
Jefferson Campos;SP;98
Milton Vieira;SP;98
Missionário José Olimpio;SP;98
Márcio Biolchi;RS;98
Julio Lopes;RJ;98
Sergio Souza;PR;98
Silas Câmara;AM;98
Silvia Waiãpi;AP;98
Rubens Otoni;GO;98
Coronel Telhada;SP;98
Covatti Filho;RS;98
Coronel Chrisóstomo;RO;98
Bia Kicis;DF;98
Bosco Costa;SE;98
Bruno Ganem;SP;98
Camila Jara;MS;98
Capitão Alberto Neto;AM;98
Silvio Costa Filho;PE;98
Carlos Jordy;RJ;98
Júnior Ferrari;PA;98
Lafayette de Andrada;MG;98
Aécio Neves;MG;98
Baleia Rossi;SP;98
Amanda Gentil;MA;98
Sâmia Bomfim;SP;98
Sérgio Brito;BA;98
André Janones;MG;98
Alceu Moreira;RS;98
Alex Manente;SP;98
Alex Santana;BA;98
Arlindo Chinaglia;SP;98
Arnaldo Jardim;SP;98
Arthur Lira;AL;98
Merlong Solano;PI;98
Acácio Favacho;AP;98
Adail Filho;AM;98
Adolfo Viana;BA;98
Adriano do Baldy;GO;98
Afonso Florence;BA;98
Aguinaldo Ribeiro;PB;98
Vicentinho;SP;98
ANDRÉ ABDON;AP;98
Vinicius Carvalho;SP;98
Vinicius Gurgel;AP;97
Túlio Gadêlha;PE;97
Afonso Hamm;RS;97
Mauricio Neves;SP;97
João Leão;BA;97
Nelson Barbudo;MT;97
Natália Bonavides;RN;97
Márcio Marinho;BA;97
Jorge Braz;RJ;97
Luiz Carlos Hauly;PR;97
Otto Alencar Filho;BA;97
Orlando Silva;SP;97
Olival Marques;PA;97
Gisela Simona;MT;97
Paulo Magalhães;BA;97
Paulo Lemos;AP;97
Paulo Folletto;ES;97
Paulo Foletto;ES;97
Filipe Barros;PR;97
Fernanda Melchionna;RS;97
Felipe Francischini;PR;97
Eros Biondini;MG;97
Pr. Marco Feliciano;SP;97
Dr. Fernando Máximo;RO;97
Dr. Daniel Soranz;RJ;97
Reginete Bispo;RS;97
Dr. Jaziel;CE;97
Rodolfo Nogueira;MS;97
Diego Coronel;BA;97
Delegado Paulo Bilynskyj;SP;97
Delegada Adriana Accorsi;GO;97
Rodrigo Valadares;SE;97
Rodrigo Rollemberg;DF;97
Daniel Soranz;RJ;97
Cristiane Lopes;RO;97
Clodoaldo Magalhães;PE;97
Stefano Aguiar;MG;97
Carlos Veras;PE;97
Carla Zambelli;SP;97
Antonio Carlos Rodrigues;SP;97
André Fufuca;MA;97
Zé Neto;BA;97
Abilio Brunini;MT;96
Yandra Moura;SE;96
Maurício Carvalho;RO;96
Zé Haroldo Cathedral;RR;96
Lázaro Botelho;TO;96
Luiz Gastão;CE;96
Marcos Tavares;RJ;96
Lindbergh Farias;RJ;96
Maria Arraes;PE;96
Pastor Sargento Isidório;BA;96
José Guimarães;CE;96
José Medeiros;MT;96
Jilmar Tatto;SP;96
Julia Zanatta;SC;96
Hercílio Coelho Diniz;MG;96
Julio Arcoverde;PI;96
Misael Varella;MG;96
Meire Serafim;AC;96
Ismael;SC;96
Otoni de Paula;RJ;96
Gustavo Gayer;GO;96
Gilson Daniel;ES;96
Franciane Bayer;RS;96
General Pazuello;RJ;96
Fausto Jr.;AM;96
Delegado Matheus Laiola;PR;96
Dr. Victor Linhalis;ES;96
Ricardo Abrão;RJ;96
Delegado Caveira;PA;96
Duda Salabert;MG;96
Emanuel Pinheiro Neto;MT;96
Pedro Campos;PE;96
Fernanda Pessoa;CE;96
Fausto Santos Jr.;AM;96
Dani Cunha;RJ;96
Rosangela Moro;SP;96
Dandara;MG;96
Célio Studart;CE;96
Coronel Fernanda;MT;96
Carlos Gomes;RS;96
Celso Sabino;PA;96
Waldemar Oliveira;PE;96
Arthur Oliveira Maia;BA;96
André Figueiredo;CE;96
Aline Gurgel;AP;96
Antônio Doido;PA;96
Tiago Dimas;TO;96
Benedita da Silva;RJ;96
Thiago de Joaldo;SE;96
Carlos Zarattini;SP;96
Delegada Katarina;SE;96
Delegado Bruno Lima;SP;96
Roberto Duarte;AC;96
Professora Goreth;AP;95
Gerlen Diniz;AC;95
Paulo Marinho Jr;MA;95
Ossesio Silva;PE;95
Coronel Tadeu;SP;95
Saulo Pedroso;SP;95
Célio Silveira;GO;95
Robério Monteiro;CE;95
Dr. Allan Garcês;MA;95
Domingos Sávio;MG;95
Delegado Ramagem;RJ;95
